S,Trig,Condition
fullpilot3,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot3,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot3,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot3,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot3,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot3,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot3,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot3,11,side=l_itd=0_az=5_mag=0_lpf=0
fullpilot3,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot3,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot3,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot3,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot3,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot3,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot3,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot3,11,side=l_itd=0_az=5_mag=0_lpf=0
fullpilot3,1,Inhale
fullpilot3,2,Exhale
fullpilot3,3,Hold_Breath
fullpilot3,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot3,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot3,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot3,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot3,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot3,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot3,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot3,11,side=l_itd=0_az=5_mag=0_lpf=0
fullpilot3,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot3,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot3,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot3,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot3,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot3,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot3,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot3,11,side=l_itd=0_az=5_mag=0_lpf=0
fullpilot3,1,Inhale
fullpilot3,2,Exhale
fullpilot3,3,Hold_Breath
fullpilot3,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot3,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot3,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot3,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot3,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot3,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot3,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot3,11,side=l_itd=0_az=5_mag=0_lpf=0
fullpilot3,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot3,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot3,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot3,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot3,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot3,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot3,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot3,11,side=l_itd=0_az=5_mag=0_lpf=0
fullpilot3,1,Inhale
fullpilot3,2,Exhale
fullpilot3,3,Hold_Breath
fullpilot3,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot3,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot3,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot3,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot3,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot3,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot3,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot3,11,side=l_itd=0_az=5_mag=0_lpf=0
fullpilot3,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot3,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot3,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot3,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot3,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot3,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot3,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot3,11,side=l_itd=0_az=5_mag=0_lpf=0
fullpilot3,1,Inhale
fullpilot3,2,Exhale
fullpilot3,3,Hold_Breath
fullpilot3,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot3,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot3,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot3,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot3,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot3,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot3,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot3,11,side=l_itd=0_az=5_mag=0_lpf=0
fullpilot3,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot3,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot3,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot3,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot3,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot3,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot3,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot3,11,side=l_itd=0_az=5_mag=0_lpf=0
fullpilot3,1,Inhale
fullpilot3,2,Exhale
fullpilot3,3,Hold_Breath
fullpilot3,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot3,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot3,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot3,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot3,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot3,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot3,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot3,11,side=l_itd=0_az=5_mag=0_lpf=0
fullpilot3,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot3,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot3,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot3,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot3,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot3,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot3,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot3,11,side=l_itd=0_az=5_mag=0_lpf=0
fullpilot3,1,Inhale
fullpilot3,2,Exhale
fullpilot3,3,Hold_Breath
fullpilot3,4,side=r_itd=500_az=0_mag=0_lpf=0
fullpilot3,5,side=r_itd=50_az=0_mag=0_lpf=0
fullpilot3,6,side=r_itd=0_az=5_mag=0_lpf=0
fullpilot3,7,side=l_itd=0_az=5_mag=1_lpf=0
fullpilot3,8,side=l_itd=50_az=0_mag=0_lpf=0
fullpilot3,9,side=l_itd=500_az=0_mag=0_lpf=0
fullpilot3,10,side=r_itd=0_az= 5_mag=1_lpf=0
fullpilot3,11,side=l_itd=0_az=5_mag=0_lpf=0
