S,Trig,Condition
mild-bici-color-1_snr-4,8,side=l_itd=0_az=70_mag=1_lpf=0
mild-bici-color-1_snr-4,9,side=r_itd=0_az=90_mag=1_lpf=0
mild-bici-color-1_snr-4,10,side=l_itd=0_az=80_mag=1_lpf=0
mild-bici-color-1_snr-4,11,side=l_itd=0_az=20_mag=0_lpf=0
mild-bici-color-1_snr-4,12,side=r_itd=0_az=60_mag=1_lpf=0
mild-bici-color-1_snr-4,13,side=l_itd=0_az=50_mag=1_lpf=0
mild-bici-color-1_snr-4,14,side=r_itd=0_az=70_mag=1_lpf=0
mild-bici-color-1_snr-4,15,side=r_itd=0_az=10_mag=1_lpf=0
mild-bici-color-1_snr-4,16,side=l_itd=0_az=40_mag=1_lpf=0
mild-bici-color-1_snr-4,17,side=l_itd=0_az=60_mag=0_lpf=0
mild-bici-color-1_snr-4,18,side=r_itd=0_az=90_mag=0_lpf=0
mild-bici-color-1_snr-4,19,side=l_itd=0_az=10_mag=1_lpf=0
mild-bici-color-1_snr-4,20,side=l_itd=0_az=30_mag=0_lpf=0
mild-bici-color-1_snr-4,21,side=r_itd=0_az=10_mag=0_lpf=0
mild-bici-color-1_snr-4,22,side=r_itd=0_az=30_mag=1_lpf=0
mild-bici-color-1_snr-4,23,side=l_itd=0_az=50_mag=0_lpf=0
mild-bici-color-1_snr-4,24,side=r_itd=0_az=70_mag=0_lpf=0
mild-bici-color-1_snr-4,25,side=l_itd=0_az=30_mag=1_lpf=0
mild-bici-color-1_snr-4,26,side=r_itd=0_az=20_mag=1_lpf=0
mild-bici-color-1_snr-4,27,side=l_itd=0_az=10_mag=0_lpf=0
mild-bici-color-1_snr-4,28,side=l_itd=0_az=20_mag=1_lpf=0
mild-bici-color-1_snr-4,29,side=r_itd=0_az=50_mag=0_lpf=0
mild-bici-color-1_snr-4,30,side=l_itd=0_az=90_mag=1_lpf=0
mild-bici-color-1_snr-4,31,side=r_itd=0_az=60_mag=0_lpf=0
mild-bici-color-1_snr-4,32,side=r_itd=0_az=80_mag=0_lpf=0
mild-bici-color-1_snr-4,33,side=l_itd=0_az=80_mag=0_lpf=0
mild-bici-color-1_snr-4,34,side=l_itd=0_az=60_mag=1_lpf=0
mild-bici-color-1_snr-4,35,side=r_itd=0_az=30_mag=0_lpf=0
mild-bici-color-1_snr-4,36,side=r_itd=0_az=40_mag=0_lpf=0
mild-bici-color-1_snr-4,37,side=l_itd=0_az=70_mag=0_lpf=0
mild-bici-color-1_snr-4,38,side=l_itd=0_az=90_mag=0_lpf=0
mild-bici-color-1_snr-4,39,side=l_itd=0_az=40_mag=0_lpf=0
mild-bici-color-1_snr-4,40,side=r_itd=0_az=20_mag=0_lpf=0
mild-bici-color-1_snr-4,1,Inhale
mild-bici-color-1_snr-4,2,Exhale
mild-bici-color-1_snr-4,3,Hold_Breath
mild-bici-color-1_snr-4,4,Button_Press
mild-bici-color-1_snr-4,5,side=r_itd=0_az=80_mag=1_lpf=0
mild-bici-color-1_snr-4,6,side=r_itd=0_az=40_mag=1_lpf=0
mild-bici-color-1_snr-4,7,side=r_itd=0_az=50_mag=1_lpf=0
mild-bici-color-1_snr-4,8,side=l_itd=0_az=70_mag=1_lpf=0
mild-bici-color-1_snr-4,9,side=r_itd=0_az=90_mag=1_lpf=0
mild-bici-color-1_snr-4,10,side=l_itd=0_az=80_mag=1_lpf=0
mild-bici-color-1_snr-4,11,side=l_itd=0_az=20_mag=0_lpf=0
mild-bici-color-1_snr-4,12,side=r_itd=0_az=60_mag=1_lpf=0
mild-bici-color-1_snr-4,13,side=l_itd=0_az=50_mag=1_lpf=0
mild-bici-color-1_snr-4,14,side=r_itd=0_az=70_mag=1_lpf=0
mild-bici-color-1_snr-4,15,side=r_itd=0_az=10_mag=1_lpf=0
mild-bici-color-1_snr-4,16,side=l_itd=0_az=40_mag=1_lpf=0
mild-bici-color-1_snr-4,17,side=l_itd=0_az=60_mag=0_lpf=0
mild-bici-color-1_snr-4,18,side=r_itd=0_az=90_mag=0_lpf=0
mild-bici-color-1_snr-4,19,side=l_itd=0_az=10_mag=1_lpf=0
mild-bici-color-1_snr-4,20,side=l_itd=0_az=30_mag=0_lpf=0
mild-bici-color-1_snr-4,21,side=r_itd=0_az=10_mag=0_lpf=0
mild-bici-color-1_snr-4,22,side=r_itd=0_az=30_mag=1_lpf=0
mild-bici-color-1_snr-4,23,side=l_itd=0_az=50_mag=0_lpf=0
mild-bici-color-1_snr-4,24,side=r_itd=0_az=70_mag=0_lpf=0
mild-bici-color-1_snr-4,25,side=l_itd=0_az=30_mag=1_lpf=0
mild-bici-color-1_snr-4,26,side=r_itd=0_az=20_mag=1_lpf=0
mild-bici-color-1_snr-4,27,side=l_itd=0_az=10_mag=0_lpf=0
mild-bici-color-1_snr-4,28,side=l_itd=0_az=20_mag=1_lpf=0
mild-bici-color-1_snr-4,29,side=r_itd=0_az=50_mag=0_lpf=0
mild-bici-color-1_snr-4,30,side=l_itd=0_az=90_mag=1_lpf=0
mild-bici-color-1_snr-4,31,side=r_itd=0_az=60_mag=0_lpf=0
mild-bici-color-1_snr-4,32,side=r_itd=0_az=80_mag=0_lpf=0
mild-bici-color-1_snr-4,33,side=l_itd=0_az=80_mag=0_lpf=0
mild-bici-color-1_snr-4,34,side=l_itd=0_az=60_mag=1_lpf=0
mild-bici-color-1_snr-4,35,side=r_itd=0_az=30_mag=0_lpf=0
mild-bici-color-1_snr-4,36,side=r_itd=0_az=40_mag=0_lpf=0
mild-bici-color-1_snr-4,37,side=l_itd=0_az=70_mag=0_lpf=0
mild-bici-color-1_snr-4,38,side=l_itd=0_az=90_mag=0_lpf=0
mild-bici-color-1_snr-4,39,side=l_itd=0_az=40_mag=0_lpf=0
mild-bici-color-1_snr-4,40,side=r_itd=0_az=20_mag=0_lpf=0
