S,Trig,Condition
mild_bici_color_1_snr=2,8,side=l_itd=0_az=60_az_itd=0_mag=1
mild_bici_color_1_snr=2,9,side=r_itd=0_az=60_az_itd=0_mag=1
mild_bici_color_1_snr=2,10,side=l_itd=0_az=30_az_itd=0_mag=0
mild_bici_color_1_snr=2,11,side=l_itd=0_az=60_az_itd=0_mag=0
mild_bici_color_1_snr=2,12,side=r_itd=0_az=60_az_itd=0_mag=0
mild_bici_color_1_snr=2,1,Inhale
mild_bici_color_1_snr=2,2,Exhale
mild_bici_color_1_snr=2,3,Hold_Breath
mild_bici_color_1_snr=2,4,Button_Press
mild_bici_color_1_snr=2,5,side=l_itd=0_az=30_az_itd=0_mag=1
mild_bici_color_1_snr=2,6,side=r_itd=0_az=30_az_itd=0_mag=1
mild_bici_color_1_snr=2,7,side=r_itd=0_az=30_az_itd=0_mag=0
mild_bici_color_1_snr=2,8,side=l_itd=0_az=60_az_itd=0_mag=1
mild_bici_color_1_snr=2,9,side=r_itd=0_az=60_az_itd=0_mag=1
mild_bici_color_1_snr=2,10,side=l_itd=0_az=30_az_itd=0_mag=0
mild_bici_color_1_snr=2,11,side=l_itd=0_az=60_az_itd=0_mag=0
mild_bici_color_1_snr=2,12,side=r_itd=0_az=60_az_itd=0_mag=0
